Crypto,Date,Price,Open,High,Low,Vol.,ChangeP
Bitcoin,30-Nov-21,56882.9,57795.2,59174.4,55936.9,73.66K,-1.58%
Bitcoin,29-Nov-21,57794.8,57288.1,58855.2,56726.7,58.65K,0.88%
Bitcoin,28-Nov-21,57291.5,54758,57392.3,53448.3,49.28K,4.61%
Bitcoin,27-Nov-21,54765.9,53747.2,55280.3,53654.3,40.71K,1.93%
Bitcoin,26-Nov-21,53730.9,58937.3,59151.1,53533.5,104.03K,-8.83%
Bitcoin,25-Nov-21,58935.1,57167.1,59387.3,57029.8,56.79K,3.08%
Bitcoin,24-Nov-21,57171.7,57559.4,57697.4,55910.6,56.68K,-0.70%
Bitcoin,23-Nov-21,57573.2,56304.8,57855.1,55542.5,72.48K,2.25%
Bitcoin,22-Nov-21,56308.8,58719.7,59288.3,55656.8,76.45K,-4.10%
Bitcoin,21-Nov-21,58714.3,59724,60002.6,58528.3,40.98K,-1.68%
Bitcoin,20-Nov-21,59717.6,58080.8,59854.6,57435.3,44.53K,2.81%
Bitcoin,19-Nov-21,58083.4,56908.3,58335.9,55626.3,74.44K,1.98%
Bitcoin,18-Nov-21,56955.3,60368.2,60936.9,56524.4,100.37K,-5.65%
Bitcoin,17-Nov-21,60367.8,60074.2,60814.5,58531.9,73.93K,0.46%
Bitcoin,16-Nov-21,60089.1,63605.1,63605.6,58655.9,115.36K,-5.52%
Bitcoin,15-Nov-21,63597.9,65514.9,66311.2,63439.5,53.53K,-2.92%
Bitcoin,14-Nov-21,65508.2,64397.2,65508.2,63608.3,33.98K,1.72%
Bitcoin,13-Nov-21,64398.6,64133.3,64906,63381.4,30.34K,0.41%
Bitcoin,12-Nov-21,64134.5,64782.6,65449.7,62309.7,63.27K,-1.04%
Bitcoin,11-Nov-21,64806.7,64922.8,65583.3,64121.9,50.37K,-0.19%
Bitcoin,10-Nov-21,64932.6,66942.6,68990.6,62951.3,96.21K,-2.95%
Bitcoin,09-Nov-21,66904.4,67528.7,68493.3,66334.9,66.13K,-0.92%
Bitcoin,08-Nov-21,67527.9,63276.4,67763.3,63276.4,81.08K,6.72%
Bitcoin,07-Nov-21,63273.2,61483.8,63273.2,61347.2,34.34K,2.91%
Bitcoin,06-Nov-21,61483.9,60973.2,61543.2,60093.6,34.89K,0.84%
Bitcoin,05-Nov-21,60974.3,61411.5,62560.3,60742.4,44.46K,-0.71%
Bitcoin,04-Nov-21,61412.6,62915.4,63077.6,60742.9,49.91K,-2.39%
Bitcoin,03-Nov-21,62918.5,63223.5,63508.6,60883,61.05K,-0.48%
Bitcoin,02-Nov-21,63221.7,60912.2,64256.4,60651.5,65.26K,3.79%
Bitcoin,01-Nov-21,60915.3,61310.1,62430.1,59612.7,61.21K,-0.64%
Bitcoin,31-Oct-21,61309.6,61842.2,62393.7,60005.7,50.06K,-0.86%
Bitcoin,30-Oct-21,61840.1,62245,62338.5,60786,40.51K,-0.65%
Bitcoin,29-Oct-21,62242.8,60579.9,62952.2,60322.2,63.39K,2.74%
Bitcoin,28-Oct-21,60582.5,58437.2,62251.3,58128.1,88.47K,3.67%
Bitcoin,27-Oct-21,58438.1,60312.5,61452.9,58112.6,88.11K,-3.11%
Bitcoin,26-Oct-21,60310.8,63067.5,63275.1,59907.3,57.13K,-4.37%
Bitcoin,25-Oct-21,63067,60864.3,63694.8,60655.8,51.06K,3.62%
Bitcoin,24-Oct-21,60866.5,61308.2,61469.9,59523.7,42.67K,-0.73%
Bitcoin,23-Oct-21,61312.5,60693.2,61728.7,59738.3,37.05K,1.03%
Bitcoin,22-Oct-21,60690.3,62200.8,63699.7,60055.7,75.69K,-2.44%
Bitcoin,21-Oct-21,62210.2,66004.6,66616.9,62092.1,105.38K,-5.71%
Bitcoin,20-Oct-21,65979.1,64276.9,66967.1,63543.7,79.87K,2.65%
Bitcoin,19-Oct-21,64278.5,62030.2,64454,61451,80.16K,3.58%
Bitcoin,18-Oct-21,62056.3,61525.8,62623.6,60026.9,80.15K,0.86%
Bitcoin,17-Oct-21,61527.5,60865.5,61651.4,59143.4,53.39K,1.09%
Bitcoin,16-Oct-21,60861.1,61669.2,62329.2,60161.9,49.93K,-1.32%
Bitcoin,15-Oct-21,61672.5,57348.2,62892.8,56874.8,121.48K,7.54%
Bitcoin,14-Oct-21,57345.8,57370.4,58506.5,56866.8,59.84K,-0.06%
Bitcoin,13-Oct-21,57380.1,56014.5,57697.4,54314.4,73.62K,2.44%
Bitcoin,12-Oct-21,56015.9,57480.6,57635.7,54155.4,74.85K,-2.54%
Bitcoin,11-Oct-21,57477.3,54686.9,57814.1,54457.8,73.84K,5.10%
Bitcoin,10-Oct-21,54687.7,54942.5,56432.2,54100.8,104.43K,-0.46%
Bitcoin,09-Oct-21,54942.5,53924.1,55430.8,53711.7,64.65K,1.91%
Bitcoin,08-Oct-21,53914.7,53785.5,55977.9,53659.3,64.05K,0.24%
Bitcoin,07-Oct-21,53783.9,55325.2,55325.6,53476.4,75.68K,-2.78%
Bitcoin,06-Oct-21,55323.2,51470,55676.1,50439.5,116.26K,7.49%
Bitcoin,05-Oct-21,51469.3,49229.5,51872.4,49060.1,76.63K,4.55%
Bitcoin,04-Oct-21,49227.3,48200.4,49481.7,46958.6,66.92K,2.13%
Bitcoin,03-Oct-21,48200.1,47665.4,49165.2,47123,42.41K,1.12%
Bitcoin,02-Oct-21,47666.9,48147.2,48306.9,47451.7,39.82K,-1.00%
Bitcoin,01-Oct-21,48146,43824.4,48435.2,43292.9,94.66K,9.86%
Bitcoin,30-Sep-21,43823.3,41534.5,44101.2,41416.7,64.32K,5.50%
Bitcoin,29-Sep-21,41536.8,41023.1,42571.2,40815,48.21K,1.25%
Bitcoin,28-Sep-21,41022.3,42169.9,42758.8,40906.4,60.01K,-2.73%
Bitcoin,27-Sep-21,42172.6,43200.9,44293.2,42143.9,54.12K,-2.39%
Bitcoin,26-Sep-21,43203.4,42685.8,43907.3,40786.6,69.91K,1.21%
Bitcoin,25-Sep-21,42686.8,42818.7,42959.3,41714.5,46.35K,-0.31%
Bitcoin,24-Sep-21,42819.9,44867.4,45112,40908.5,128.88K,-4.57%
Bitcoin,23-Sep-21,44869.2,43550.7,44949.8,43090.1,74.54K,3.03%
Bitcoin,22-Sep-21,43551.6,40660.8,43976.7,40585.7,93.98K,7.13%
Bitcoin,21-Sep-21,40651.3,43012.3,43619.3,39646.8,142.55K,-5.18%
Bitcoin,20-Sep-21,42870.6,47240.8,47323.9,42547.1,77.96K,-9.25%
Bitcoin,19-Sep-21,47238.7,48299.9,48341.9,46866.6,41.98K,-2.21%
Bitcoin,18-Sep-21,48306.7,47283.9,48761,47070.5,43.64K,2.17%
Bitcoin,17-Sep-21,47282.8,47748.2,48155.9,46788.8,50.16K,-0.97%
Bitcoin,16-Sep-21,47748,48132.3,48480.6,47040.3,60.91K,-0.80%
Bitcoin,15-Sep-21,48130.6,47070.8,48436.5,46743.9,63.40K,2.24%
Bitcoin,14-Sep-21,47077.5,44950.2,47247.6,44718.7,65.33K,4.73%
Bitcoin,13-Sep-21,44949.5,46060.8,46807.7,43463.2,96.15K,-2.42%
Bitcoin,12-Sep-21,46062.3,45162.6,46386.4,44755.2,44.52K,1.99%
Bitcoin,11-Sep-21,45161.9,44844.9,45975.6,44766.6,41.58K,0.71%
Bitcoin,10-Sep-21,44842.8,46385.9,47021.6,44283.6,75.62K,-3.33%
Bitcoin,09-Sep-21,46385.6,46057.6,47305.7,45609,73.63K,0.70%
Bitcoin,08-Sep-21,46061.4,46774.1,47316.9,44493.7,100.48K,-1.54%
Bitcoin,07-Sep-21,46779.6,52674.2,52885.3,43072.4,187.56K,-11.19%
Bitcoin,06-Sep-21,52672.1,51769.4,52726.2,51002.8,69.46K,1.75%
Bitcoin,05-Sep-21,51768.6,49918.7,51878.2,49492.4,57.30K,3.71%
Bitcoin,04-Sep-21,49918.4,49999.3,50534.6,49461.4,48.14K,-0.16%
Bitcoin,03-Sep-21,49999,49269.5,51008.8,48377.3,88.08K,1.47%
Bitcoin,02-Sep-21,49274.3,48817.8,50355.3,48612.9,80.21K,0.93%
Bitcoin,01-Sep-21,48819.4,47129.2,49121,46533.1,74.38K,3.58%
Bitcoin,31-Aug-21,47130.4,46989.1,48217,46709.3,71.48K,0.29%
Bitcoin,30-Aug-21,46992.7,48777.1,48886,46876.9,61.68K,-3.66%
Bitcoin,29-Aug-21,48777.4,48899.7,49621.7,47870.1,47.62K,-0.24%
Bitcoin,28-Aug-21,48897.1,49062.8,49289.4,48428.5,36.73K,-0.34%
Bitcoin,27-Aug-21,49064.3,46830.2,49142,46371.5,62.47K,4.77%
Bitcoin,26-Aug-21,46831.6,48994.4,49347.8,46360.4,73.79K,-4.41%
Bitcoin,25-Aug-21,48994.5,47707.4,49230.2,47163.3,63.54K,2.68%
Bitcoin,24-Aug-21,47714.7,49532.5,49847.4,47623.6,74.26K,-3.68%
Bitcoin,23-Aug-21,49539.7,49255.4,50498.8,49038.6,75.37K,0.58%
Bitcoin,22-Aug-21,49254.5,48870.4,49480.3,48151,49.32K,0.77%
Bitcoin,21-Aug-21,48875.8,49330,49719.1,48293.5,18.20K,-0.91%
Bitcoin,20-Aug-21,49324,46756.7,49343.3,46646.8,83.19K,5.49%
Bitcoin,19-Aug-21,46755.9,44725.9,47012.3,43986.7,77.92K,4.54%
Bitcoin,18-Aug-21,44723.8,44691.1,46004.9,44230,22.36K,0.07%
Bitcoin,17-Aug-21,44691.6,45907.5,47140.6,44441.3,84.14K,-2.84%
Bitcoin,16-Aug-21,45996.3,46991.6,48002.4,45672.1,2.41K,-2.12%
Bitcoin,15-Aug-21,46991.3,47082.6,47344.1,45564.1,58.11K,-0.19%
Bitcoin,14-Aug-21,47081.5,47809.6,48090.9,46117.2,64.29K,-1.52%
Bitcoin,13-Aug-21,47809.1,44404,47836,44242.4,75.27K,7.67%
Bitcoin,12-Aug-21,44403.4,45562.3,46213.8,43814.7,81.07K,-2.55%
Bitcoin,11-Aug-21,45564.3,45593.2,46736.5,45367.9,75.43K,-0.06%
Bitcoin,10-Aug-21,45593.8,46281.8,46663.4,44681.2,80.55K,-1.49%
Bitcoin,09-Aug-21,46284.3,43794.9,46460.7,42824.1,117.08K,5.69%
Bitcoin,08-Aug-21,43792.8,44584.9,45284.1,43314.4,105.25K,-1.84%
Bitcoin,07-Aug-21,44614.2,42784.7,44697.3,42611,112.84K,4.25%
Bitcoin,06-Aug-21,42795.4,40868.4,43253.4,39905.4,111.93K,4.72%
Bitcoin,05-Aug-21,40867.2,39734.4,41366.3,37365.4,130.60K,2.84%
Bitcoin,04-Aug-21,39736.9,38188.4,39956.5,37556,79.22K,4.21%
Bitcoin,03-Aug-21,38130.3,39167.4,39766.6,37688.2,0.26K,-2.65%
Bitcoin,02-Aug-21,39168.4,39869.8,40449,38692.5,74.81K,-1.78%
Bitcoin,01-Aug-21,39878.3,41510,42565,39556.5,80.33K,-4.03%
Bitcoin,31-Jul-21,41553.7,42201.4,42285.3,41066.4,44.65K,-1.54%
Bitcoin,30-Jul-21,42203.4,40001.1,42264.4,38358.4,98.45K,5.50%
Bitcoin,29-Jul-21,40001.4,40009,40630.7,39340.8,75.30K,0.00%
Bitcoin,28-Jul-21,40003.2,39450.4,40862.2,38883.8,148.92K,1.40%
Bitcoin,27-Jul-21,39452,37294.3,39455.9,36427.4,100.24K,5.84%
Bitcoin,26-Jul-21,37276.6,35392.3,40522.9,35236.7,177.63K,5.33%
Bitcoin,25-Jul-21,35391.1,34392.5,35391.1,33881.3,65.10K,4.63%
Bitcoin,24-Jul-21,33824.8,33600.5,33955,33412.9,67.14K,0.66%
Bitcoin,23-Jul-21,33603.3,32297.9,33605.6,32041.1,66.15K,4.04%
Bitcoin,22-Jul-21,32298.9,32131.7,32585.4,31729.4,64.87K,0.52%
Bitcoin,21-Jul-21,32131.4,29794.7,32794.6,29519.3,118.34K,7.85%
Bitcoin,20-Jul-21,29793.8,30835.4,31040.8,29310.2,97.46K,-3.38%
Bitcoin,19-Jul-21,30837.2,31782.9,31887,30478.2,77.48K,-2.98%
Bitcoin,18-Jul-21,31785.4,31517.9,32408.2,31220.6,57.01K,0.85%
Bitcoin,17-Jul-21,31518.6,31384.4,31914.8,31207.8,58.06K,0.40%
Bitcoin,16-Jul-21,31394,31842.3,32239.8,31062.2,70.48K,-1.40%
Bitcoin,15-Jul-21,31840.5,32820.5,33157,31175.8,76.95K,-2.99%
Bitcoin,14-Jul-21,32820.7,32727.8,33051.9,31611.2,69.56K,0.28%
Bitcoin,13-Jul-21,32728.1,33106.1,33307.7,32259.5,60.04K,-1.16%
Bitcoin,12-Jul-21,33113,34228.3,34598,32662.8,63.24K,-3.26%
Bitcoin,11-Jul-21,34227.7,33510.8,34580.6,33319.8,35.72K,2.14%
Bitcoin,10-Jul-21,33510.6,33797.7,34221,33056.8,50.94K,-0.85%
Bitcoin,09-Jul-21,33797.4,32866.3,34079.2,32367,67.14K,2.83%
Bitcoin,08-Jul-21,32866.3,33859.4,33923.2,32146.9,108.09K,-2.96%
Bitcoin,07-Jul-21,33867.8,34228.7,35036.6,33801.3,72.03K,-1.05%
Bitcoin,06-Jul-21,34225.6,33688.5,35062,33581.7,83.63K,1.60%
Bitcoin,05-Jul-21,33687.8,35297,35300.5,33164.1,88.36K,-4.56%
Bitcoin,04-Jul-21,35298.2,34742.8,35957.6,34740.1,56.13K,1.60%
Bitcoin,03-Jul-21,34742.8,33814.2,34909.8,33363.3,55.69K,2.75%
Bitcoin,02-Jul-21,33813.4,33542.2,33925.9,32734.6,78.93K,0.80%
Bitcoin,01-Jul-21,33543.6,35030.7,35032.7,32839.2,27.41K,-4.23%
Bitcoin,30-Jun-21,35026.9,35832.6,36089.5,34126.6,107.07K,-2.25%
Bitcoin,29-Jun-21,35834.7,34477.3,36590.3,34247.6,97.27K,3.94%
Bitcoin,28-Jun-21,34475.9,34682.2,35231.2,33944.9,112.00K,-0.58%
Bitcoin,27-Jun-21,34678.5,32247.1,34685.5,32041.7,148.80K,7.55%
Bitcoin,26-Jun-21,32243.4,31592.1,32643,30206.9,156.67K,2.06%
Bitcoin,25-Jun-21,31594,34660.5,35490.9,31337.9,193.43K,-8.86%
Bitcoin,24-Jun-21,34665.8,33678.1,35249.9,32356.7,119.25K,2.94%
Bitcoin,23-Jun-21,33674.3,32498.3,34784.3,31736.5,173.34K,3.62%
Bitcoin,22-Jun-21,32496.4,31682.7,33272.5,28901.8,309.65K,2.54%
Bitcoin,21-Jun-21,31692,35597.9,35708.4,31284.1,256.87K,-10.97%
Bitcoin,20-Jun-21,35595.8,35510.9,36097.9,33378,137.48K,0.23%
Bitcoin,19-Jun-21,35513.4,35770,36357.3,34845.5,105.46K,-0.66%
Bitcoin,18-Jun-21,35749.4,38045.5,38166,35198.5,102.84K,-6.05%
Bitcoin,17-Jun-21,38052,38337.8,39529.9,37425.3,109.58K,-0.74%
Bitcoin,16-Jun-21,38336,40148.1,40494.4,38156.4,123.52K,-4.53%
Bitcoin,15-Jun-21,40156.1,40522.5,41318,39589.9,117.55K,-0.92%
Bitcoin,14-Jun-21,40529.4,39024.1,40970.4,38769.9,157.35K,3.86%
Bitcoin,13-Jun-21,39022.9,35467.5,39321.6,34827,123.32K,10.02%
Bitcoin,12-Jun-21,35467.5,37334.4,37437.3,34703.3,87.73K,-4.95%
Bitcoin,11-Jun-21,37314.6,36654.3,37641.1,36003.3,109.15K,1.81%
Bitcoin,10-Jun-21,36649.4,37375.2,38340.8,35824,154.32K,-1.83%
Bitcoin,09-Jun-21,37332.2,33385.5,37517.6,32428.6,209.82K,11.83%
Bitcoin,08-Jun-21,33382.9,33574.6,34047.8,31158.1,193.54K,-0.58%
Bitcoin,07-Jun-21,33578,35815.4,36754.6,33410.1,119.50K,-6.25%
Bitcoin,06-Jun-21,35815.4,35518.7,36434,35265.3,62.20K,0.83%
Bitcoin,05-Jun-21,35520,36841.2,37887.6,34832,101.48K,-3.61%
Bitcoin,04-Jun-21,36851.3,39191.4,39255.4,35659.9,127.71K,-5.96%
Bitcoin,03-Jun-21,39187.3,37555.7,39462.3,37193.6,106.44K,4.34%
Bitcoin,02-Jun-21,37555.8,36687.7,38199.9,35981.1,96.89K,2.37%
Bitcoin,01-Jun-21,36687.6,37294.3,37850.3,35742.7,113.48K,-1.64%
Bitcoin,31-May-21,37298.6,35644,37480.7,34213.2,131.70K,4.62%
Bitcoin,30-May-21,35652.8,34589.3,36388.6,33441,104.18K,3.09%
Bitcoin,29-May-21,34584.6,35664.5,37227.1,33664.2,160.43K,-3.02%
Bitcoin,28-May-21,35662.5,38543.2,38844.1,34772.4,199.58K,-7.17%
Bitcoin,27-May-21,38417.3,39249,40322.2,37190.8,122.93K,-2.12%
Bitcoin,26-May-21,39249.2,38375.7,40750,37847,153.80K,2.27%
Bitcoin,25-May-21,38378.3,38753.6,39740.8,36540.7,163.01K,-0.96%
Bitcoin,24-May-21,38750.6,34720.3,39851.7,34474.6,244.88K,11.74%
Bitcoin,23-May-21,34679.7,37446.8,38248.7,31192.4,325.73K,-7.39%
Bitcoin,22-May-21,37448.3,37291,38776,35314.9,185.83K,0.40%
Bitcoin,21-May-21,37297.4,40611.2,42108.3,33592.3,315.50K,-8.40%
Bitcoin,20-May-21,40717.2,36706.8,42425.9,35010.4,269.75K,10.88%
Bitcoin,19-May-21,36720.5,42898.3,43516.6,30261.7,607.10K,-14.40%
Bitcoin,18-May-21,42897.3,43538.5,45770.9,42293.9,154.96K,-1.48%
Bitcoin,17-May-21,43541.3,46424.2,46545.4,42201.5,274.76K,-6.21%
Bitcoin,16-May-21,46426.4,46729.3,49764.3,43920.8,180.07K,-0.60%
Bitcoin,15-May-21,46708.8,49839.1,50640.9,46650.2,131.91K,-6.28%
Bitcoin,14-May-21,49839.8,49704.9,51459.2,48874,118.84K,0.27%
Bitcoin,13-May-21,49704.6,49398.2,51337.3,46331.1,236.71K,0.65%
Bitcoin,12-May-21,49384.2,56694.5,57938.5,49187,160.74K,-12.90%
Bitcoin,11-May-21,56695.7,55846.1,56871.1,54550.4,96.47K,1.52%
Bitcoin,10-May-21,55848.9,58251.2,59523.9,53678.3,142.61K,-4.10%
Bitcoin,09-May-21,58238.3,58840.6,59227,56414.4,103.59K,-1.02%
Bitcoin,08-May-21,58840.1,57330.3,59471.1,56972.2,101.27K,2.62%
Bitcoin,07-May-21,57337.2,56411.4,58639.3,55300.1,110.01K,1.65%
Bitcoin,06-May-21,56405.4,57441,58364.9,55294.5,109.02K,-1.80%
Bitcoin,05-May-21,57441.3,53872.5,57936.4,53872.5,119.82K,6.88%
Bitcoin,04-May-21,53741.5,57170.6,57201.3,53741.5,132.33K,-6.00%
Bitcoin,03-May-21,57169.8,56605.8,58925.1,56562.4,89.24K,1.00%
Bitcoin,02-May-21,56603.8,57807.2,57868.4,56110.5,53.61K,-2.08%
Bitcoin,01-May-21,57807.1,57719.1,58449.4,57029.5,63.41K,0.15%
Bitcoin,30-Apr-21,57720.3,53562.3,57925.6,53088.7,103.74K,7.77%
Bitcoin,29-Apr-21,53560.8,54838.6,55173.7,52400,83.90K,-2.34%
Bitcoin,28-Apr-21,54841.4,55036,56419.9,53876.4,86.96K,-0.35%
Bitcoin,27-Apr-21,55036.5,54011.1,55427.8,53345,84.08K,1.88%
Bitcoin,26-Apr-21,54020.5,48963.5,54320.9,48815.9,129.76K,10.33%
Bitcoin,25-Apr-21,48963.6,50088.2,50532.4,47098.5,59.20K,-2.25%
Bitcoin,24-Apr-21,50088.9,51140.8,51183,48775.2,82.25K,-2.06%
Bitcoin,23-Apr-21,51143.6,51707.1,52099.9,47659.4,214.46K,-1.13%
Bitcoin,22-Apr-21,51729.5,53821.3,55408.4,50590.9,168.13K,-3.88%
Bitcoin,21-Apr-21,53820.2,56479.5,56764.4,53657.6,100.26K,-4.71%
Bitcoin,20-Apr-21,56483.2,55645.1,57054.9,53422.5,115.49K,1.50%
Bitcoin,19-Apr-21,55646.1,56208.1,57517,54272.3,117.51K,-1.00%
Bitcoin,18-Apr-21,56207.1,60043.2,60362.1,51817.6,216.81K,-6.39%
Bitcoin,17-Apr-21,60041.9,61358.3,62509.1,59672.1,84.08K,-2.18%
Bitcoin,16-Apr-21,61379.7,63211.6,63518.5,60027.3,136.85K,-2.90%
Bitcoin,15-Apr-21,63216,62978.6,63729.1,62067.5,76.97K,0.37%
Bitcoin,14-Apr-21,62980.4,63544.2,64778,61366.3,130.43K,-0.88%
Bitcoin,13-Apr-21,63540.9,59863.6,63659,59839.4,126.56K,6.14%
Bitcoin,12-Apr-21,59863.8,59982.1,61259.9,59569.2,81.88K,-0.19%
Bitcoin,11-Apr-21,59978.7,59772.4,60667.1,59250.3,58.20K,0.39%
Bitcoin,10-Apr-21,59748.4,58127.4,61229,57900,103.72K,2.80%
Bitcoin,09-Apr-21,58118.7,58076.8,58890.9,57686,59.22K,0.07%
Bitcoin,08-Apr-21,58077.4,55948,58136.7,55721.6,64.78K,3.80%
Bitcoin,07-Apr-21,55948.7,57996.3,58627.7,55489.3,110.69K,-3.53%
Bitcoin,06-Apr-21,57996.3,59169,59487,57403.3,77.15K,-1.69%
Bitcoin,05-Apr-21,58993.4,58202.3,59205.1,56842.7,54.13K,1.36%
Bitcoin,04-Apr-21,58199.9,57059.7,58464.8,56470.6,57.21K,2.00%
Bitcoin,03-Apr-21,57059.9,58976.8,59770.5,56906.7,68.74K,-3.25%
Bitcoin,02-Apr-21,58977.3,58718.2,60134.9,58466.5,72.37K,0.44%
Bitcoin,01-Apr-21,58718.3,58763.2,59406.5,58040.7,69.04K,-0.08%
Bitcoin,31-Mar-21,58763.7,58771.4,59795.6,56991.6,98.06K,-0.01%
Bitcoin,30-Mar-21,58771.3,57614.6,59366.9,57077.1,86.21K,2.00%
Bitcoin,29-Mar-21,57616.2,55764.7,58392.6,54951.1,107.91K,3.32%
Bitcoin,28-Mar-21,55765.2,55856.9,56504.2,54711.3,58.71K,-0.17%
Bitcoin,27-Mar-21,55862.9,55033.8,56531.1,54010.2,73.87K,1.50%
Bitcoin,26-Mar-21,55036.1,51317.4,55074.1,51302,100.30K,7.24%
Bitcoin,25-Mar-21,51322.3,52330,53175.4,50441.3,143.35K,-1.92%
Bitcoin,24-Mar-21,52325.4,54309.1,57169.4,51725.4,137.91K,-3.91%
Bitcoin,23-Mar-21,54452.5,54117.5,55813.8,52992.3,84.84K,0.54%
Bitcoin,22-Mar-21,54158.3,57379.3,58379.9,53784.2,95.53K,-5.62%
Bitcoin,21-Mar-21,57383.8,58097.4,58583.8,55583.3,77.47K,-1.22%
Bitcoin,20-Mar-21,58093.4,58084.1,59882.1,57863,67.83K,0.01%
Bitcoin,19-Mar-21,58088,57645,59448.3,56305.1,83.98K,0.75%
Bitcoin,18-Mar-21,57656,58911.8,60088,57099.6,102.62K,-2.13%
Bitcoin,17-Mar-21,58913.5,56892.9,58933.2,54253.2,118.26K,3.56%
Bitcoin,16-Mar-21,56889.7,55619.5,56889.7,53342.6,128.51K,1.97%
Bitcoin,15-Mar-21,55791.3,59117.4,60565.9,55088.8,117.71K,-5.62%
Bitcoin,14-Mar-21,59113.7,61192.7,61673.7,59113.7,80.29K,-3.40%
Bitcoin,13-Mar-21,61195.3,57267.4,61795.8,56118.8,134.64K,6.86%
Bitcoin,12-Mar-21,57265.1,57806.2,58052.3,55134.5,116.96K,-0.92%
Bitcoin,11-Mar-21,57799.5,55851.2,58135,54351.8,129.63K,3.49%
